description,carb,fat,energy,protein,country,serving_type,queries
"['Sugar substitute, sucralose, powder', 'Coffee, brewed']",0.91,0.12,9.36,0.72,USA,metric,I'm sipping on 600 grams of brewed coffee with a touch of 1 gram of sucralose powder for my snack.
"['Milk, reduced fat (2%)', 'Orange chicken']",68.58,36.589999999999996,782.24,44.61,USA,metric,I'm eating 244 grams of 2% milk alongside 252 grams of orange chicken for lunch.
"['Milk, reduced fat (2%)', 'Peanut butter sandwich, with regular peanut butter, on white bread']",48.629999999999995,23.14,475.28,21.03,USA,metric,"For dinner, I'm having a 244-gram glass of reduced fat milk and a 92-gram peanut butter sandwich made with regular peanut butter on white bread."
"['Apple juice, 100%', 'Peanut butter and jelly sandwich, with regular peanut butter, regular jelly, on wheat bread']",72.0,19.009999999999998,498.21999999999997,14.280000000000001,USA,metric,My lunch consists of a 112-gram peanut butter and jelly sandwich on wheat bread paired with 209 grams of 100% apple juice.
['Chicken or turkey with dumplings'],19.4,13.4,351.36,38.16,USA,metric,"I made chicken or turkey with dumplings for dinner, and I've got 244 grams of it."
"['Macaroni or noodles with cheese, made from packaged mix']",50.99,18.33,409.4,10.67,USA,metric,I'm eating 230 grams of mac and cheese from a packaged mix for dinner.
"['Coffee, Iced Cafe Mocha']",22.2,2.26,124.0,3.92,USA,metric,I’m enjoying 248 grams of iced cafe mocha coffee for a snack.
"['Chili con carne with chicken or turkey and beans', 'Cream, half and half', 'Yogurt, Greek, nonfat milk, flavors other than fruit', 'Coffee, brewed']",36.96,8.860000000000001,368.01,36.839999999999996,USA,metric,"I have a bowl of chili con carne with chicken or turkey and beans, weighing 254 grams, paired with 15 grams of half and half. I'm also enjoying 170 grams of Greek yogurt and 240 grams of brewed coffee."
"['Water, baby, bottled, unsweetened', 'Brussels sprouts, frozen, cooked, no added fat']",12.86,0.6,65.1,5.63,USA,metric,"For a snack, I have 240 grams of unsweetened bottled baby water and 155 grams of cooked frozen Brussels sprouts."
['SNICKERS Bar'],5.54,2.15,44.19,0.68,USA,metric,I grabbed a 9g SNICKERS Bar to snack on.
"['Crackers, butter (Ritz)']",27.58,11.89,229.5,2.99,USA,metric,"For my snack, I'm enjoying 45 grams of Ritz butter crackers."
"['Soft drink, fruit flavored, caffeine free']",37.72,0.07,148.8,0.19,USA,metric,"For my snack, I’m having a 372g soft drink that’s fruit flavored and caffeine free."
['Kit Kat'],6.46,2.6,51.8,0.65,USA,metric,I grabbed a 10g Kit Kat for a quick snack.
"['Soft drink, cola, diet']",1.04,0.11,7.2,0.4,USA,metric,I’ve got a 360g can of diet cola for my snack.
"['Turkey or chicken sausage', 'Bread, whole wheat, made from home recipe or purchased at bakery, toasted', 'Egg, whole, fried with oil', 'Grits, instant, made with water, no added fat', 'Milk, low fat (1%)']",56.06,15.610000000000001,454.77,24.72,USA,metric,"For breakfast, I had 20 grams of turkey sausage, 40 grams of toasted whole wheat bread, a fried egg weighing 55 grams, 148 grams of instant grits made with water, and a glass of 244 grams of 1% low-fat milk."
"['Water, tap', 'Cereal or granola bar, fruit and nut', 'Iced Coffee, brewed']",17.72,12.81,197.20000000000002,5.7,USA,metric,"I’ve got a snack that includes 240 grams of water, a 40-gram cereal bar with fruit and nuts, and 240 grams of iced coffee."
"['Muffin, English', 'Cheese, American', 'Egg omelet or scrambled egg, NS as to fat', 'Jelly, all flavors', 'Pork bacon, NS as to fresh, smoked or cured, cooked']",42.040000000000006,18.04,406.68999999999994,19.07,USA,metric,"For lunch, I'm having an English muffin (58.0g) with American cheese (21.0g), a cooked egg omelet (55.0g), some jelly (20.0g), and a serving of pork bacon (12.0g)."
"['Chicken drumstick, grilled with sauce, skin eaten', 'Fruit juice drink (Capri Sun)', 'Water, bottled, unsweetened', 'Banana pudding']",76.42,14.77,498.94,17.23,USA,metric,"I have a 65-gram grilled chicken drumstick with sauce, along with a 186-gram Capri Sun juice drink, 507 grams of bottled water, and 190 grams of banana pudding for my snack."
"['Potato chips, reduced fat', 'Turkey submarine sandwich, with cheese, lettuce, tomato and spread']",77.09,11.78,517.16,25.68,USA,metric,"I’m enjoying 28 grams of reduced-fat potato chips along with a 260-gram turkey submarine sandwich that has cheese, lettuce, tomato, and spread for lunch."
"['Water, bottled, unsweetened', 'Almond milk, unsweetened']",3.2,2.34,36.6,0.98,USA,metric,"For my snack, there's 240 grams of unsweetened bottled water and 244 grams of unsweetened almond milk."
"['Soft drink, cola, fruit or vanilla flavored', 'Cookie, butter or sugar']",58.739999999999995,6.79,295.44,1.6,USA,metric,"For a snack, I'm having 372 grams of fruit-flavored cola and a 30-gram butter cookie."
"['Nutritional drink or shake, ready-to-drink (Boost)']",44.29,4.33,258.56,10.8,USA,metric,I’ve got a 256g ready-to-drink Boost shake for my breakfast.
"['Soft drink, fruit flavored, caffeine free', 'Potato chips, ruffled, barbecue flavored']",69.59,17.77,426.39,3.9,USA,metric,I’m enjoying a snack of 372 grams of a fruit-flavored soft drink and 57 grams of barbecue potato chips.
"['Ice cream, chocolate']",67.68,26.4,518.4,9.12,USA,metric,I’m having 240 grams of chocolate ice cream for a snack.
"['Chicken breast, grilled without sauce, skin not eaten', 'Green beans, canned, reduced sodium, cooked, no added fat']",6.05,7.18,242.0,37.11,USA,metric,"For breakfast, I have 120 grams of grilled chicken breast and 140 grams of green beans that are canned and low in sodium."
"['Cheese, Cheddar']",2.76,38.42,461.04,26.33,USA,metric,I’m starting my day with 113 grams of cheddar cheese for breakfast.
['Energy drink (Monster)'],55.95,0.0,233.12,2.33,USA,metric,I’m starting my day with a 496-gram can of Monster energy drink.
"['Popcorn, microwave, butter flavored']",47.59,26.41,457.3,7.39,USA,metric,I’m snacking on 85 grams of microwave popcorn that's butter flavored.
"['Banana, raw', 'Breakfast tart']",67.57,5.29,320.04,3.54,USA,metric,"For breakfast, I'm having a 126-gram raw banana along with a 54-gram breakfast tart."
"['Chicken or turkey noodle soup, reduced sodium, canned or ready-to-serve', 'Soft drink, fruit flavored, caffeine containing, diet']",20.43,7.13,218.12,17.86,USA,metric,"I have a can of chicken or turkey noodle soup, weighing 532 grams, and I'm drinking a 360-gram diet fruit-flavored soda for lunch."
"['Banana, raw', 'Apple, raw']",51.57,0.7,197.94,1.8,USA,metric,I’ve got a 126-gram banana and a 165-gram apple for my snack.
['Nutrition bar (Clif Bar)'],44.5,4.0,235.28,10.0,USA,metric,"For lunch, I'm having a Clif Bar that weighs 68 grams."
"['Popcorn, ready-to-eat packaged, cheese flavored', 'Soft drink, fruit flavored, caffeine free']",67.13,18.990000000000002,448.62,5.49,USA,metric,I'm enjoying a snack of 57 grams of cheese-flavored popcorn and a 372-gram serving of fruit-flavored soft drink.
['Freezer pop'],9.62,0.12,39.5,0.0,USA,metric,"For my snack, I'm having a 50g freezer pop."
"['Cereal or granola bar, with yogurt coating (General Mills Nature Valley Chewy Granola Bar)', 'Potato chips, restructured, flavored']",37.01,11.01,256.45000000000005,2.92,USA,metric,"For a snack, I'm having a 35g Nature Valley Chewy Granola Bar with yogurt coating and 20g of flavored potato chips."
"['Potato chips, other flavored']",31.87,17.7,277.59,3.71,USA,metric,I decided to snack on 57 grams of flavored potato chips.
"['Milk, reduced fat (2%)', 'Coffee, brewed']",1.5,0.6799999999999999,20.05,1.6,USA,metric,I have 30.5 grams of milk and 480 grams of coffee for my snack.
"['Peanut butter sandwich, with regular peanut butter, on whole wheat bread']",34.39,18.74,349.6,14.04,USA,metric,"For dinner, I'm having a peanut butter sandwich made with regular peanut butter on whole wheat bread, weighing 92 grams."
"['Milk, reduced fat (2%)', 'Pizza, cheese, from school lunch, medium crust', 'Tortilla chips, cool ranch flavor (Doritos)']",74.52,23.03,621.1,30.24,USA,metric,"At lunch, I have 244 grams of 2% milk, a medium slice of cheese pizza from school lunch that weighs 147 grams, and 28 grams of Cool Ranch-flavored tortilla chips."
"['Grapes, raw', 'Water, tap']",27.15,0.24,103.5,1.08,USA,metric,I'm enjoying 150 grams of raw grapes along with 240 grams of tap water for my lunch.
"['Bread, whole wheat, toasted']",15.63,1.29,92.07,4.46,USA,metric,"For breakfast, I'm having 33 grams of toasted whole wheat bread."
"['Chicken fillet sandwich, fried, from fast food', 'Potato, french fries, fast food', 'Soft drink, fruit flavored, caffeine free']",150.48000000000002,40.300000000000004,1050.6,22.27,USA,metric,"For lunch, I'm having a 140-gram fried chicken fillet sandwich from fast food, along with 145 grams of french fries and a 512-gram serving of caffeine-free fruit-flavored soft drink."
"['Biscuit, NFS', 'Pork sausage', 'Orange juice, 100%, canned, bottled or in a carton']",34.08,18.199999999999996,341.01,10.52,USA,metric,"For breakfast, I'm having a 45-gram biscuit, 35 grams of pork sausage, and 124 grams of 100% orange juice."
"['Sausage, NFS', 'Soft drink, fruit flavored, diet, caffeine free', 'Cheese, American', 'Muffin, English', 'Egg omelet or scrambled egg, from fast food / restaurant']",28.35,23.82,414.93,21.810000000000002,USA,metric,"For breakfast, I’m enjoying 35 grams of sausage, a 360-gram diet fruit-flavored soft drink, 21 grams of American cheese, an English muffin at 58 grams, and a fast food scrambled egg that weighs 55 grams."
"['Soft drink, cola', 'Burrito with meat, beans, and rice']",123.37,53.08,1173.26,50.61,USA,metric,"My lunch consists of a 372-gram soft drink and a burrito with meat, beans, and rice that weighs 482 grams."
"['Nutritional drink or shake, ready-to-drink, NFS']",41.86,6.27,260.4,9.42,USA,metric,I’ve got a 248-gram nutritional drink for my snack.
"['Nutritional drink or shake, ready-to-drink (Boost)', 'Muffin, wheat bran']",114.44999999999999,14.81,645.56,22.03,USA,metric,I’ve got a 256-gram Boost shake and a wheat bran muffin weighing 180 grams for breakfast.
"['Coffee, brewed']",0.0,0.05,2.4,0.29,USA,metric,I made myself a 240-gram serving of brewed coffee for breakfast.
"['Soft drink, root beer']",65.72,0.0,254.2,0.0,USA,metric,I'm having a 620g soft drink of root beer for a little pick-me-up snack.
"['Cookie, marshmallow, with rice cereal, no bake', 'Nachos with meat and cheese', 'Onion flavored rings', 'Sports drink (Powerade)']",144.07,42.84,1114.9,38.870000000000005,USA,metric,"I’ve got a lunch spread that includes a 38-gram no-bake marshmallow cookie, 262 grams of nachos loaded with meat and cheese, 28 grams of onion rings, and a big 620-gram sports drink, Powerade."
"['Wine, table, white']",4.68,0.0,147.6,0.13,USA,metric,I'm sipping on 180 grams of white wine for my snack.
"['Popcorn, microwave, plain']",47.59,26.41,457.3,7.39,USA,metric,"I made some plain microwave popcorn, and I'm snacking on 85 grams of it."
"['Ice cream sandwich, vanilla']",26.91,8.85,198.0,3.21,USA,metric,I’m enjoying a 75g vanilla ice cream sandwich as a snack.
"['Breakfast bar, NFS', 'Coffee creamer, liquid, sugar free, flavored', 'Coffee, brewed', 'Egg, cheese, and sausage on English muffin']",60.39,32.59,630.6700000000001,23.71,USA,metric,"I enjoyed a breakfast bar weighing 43 grams, along with a brewed coffee of 360 grams and an egg, cheese, and sausage on an English muffin that was 159 grams. I also added 15 grams of liquid sugar-free flavored coffee creamer."
"['Water, tap', 'Cookie, chocolate chip']",19.61,7.42,147.6,1.53,USA,metric,I’m enjoying a chocolate chip cookie that weighs 30 grams with 240 grams of tap water for a snack.
"['Chicken fillet sandwich, from school cafeteria', 'Apple, raw']",55.040000000000006,7.76,334.91999999999996,13.969999999999999,USA,metric,I enjoyed a chicken fillet sandwich weighing 92 grams and paired it with a 200-gram raw apple for dinner.
"['Energy drink, sugar-free (Red Bull)']",2.52,0.29,18.0,0.9,USA,metric,I’m having a 360g sugar-free Red Bull energy drink for breakfast.
"['Cheese, Mozzarella, part skim', 'Potato chips, plain']",16.330000000000002,15.29,233.44,8.51,USA,metric,I'm having 28 grams of plain potato chips and a serving of part-skim mozzarella cheese that weighs 28.35 grams for a snack.
"['Apple, raw', 'Tea, hot, leaf, green, decaffeinated', 'Cucumber, raw']",34.88,0.56,134.0,1.82,USA,metric,"For my snack, I have 200 grams of a raw apple, 360 grams of hot green tea that's decaffeinated, and 200 grams of cucumber."
"['Soft drink, cola', 'Whopper with cheese (Burger King)']",115.65,47.37,1037.6,39.7,USA,metric,I’m starting my day with a 290g Whopper with cheese and a 620g cola soft drink.
"['Snack cake, not chocolate, with icing or filling']",23.69,4.27,138.38,1.28,USA,metric,"For my snack, I have 37 grams of non-chocolate snack cake with icing or filling."
"['Doughnut, cake type, powdered sugar']",33.23,14.96,280.15,3.18,USA,metric,"This morning, I’m enjoying a 65-gram doughnut covered in powdered sugar."
"['Coffee creamer, liquid, sugar free, flavored', 'Coffee, instant, reconstituted']",4.24,1.05,28.5,0.48,USA,metric,"This morning, I mixed 30 grams of liquid sugar-free creamer into 240 grams of instant coffee."
"['Peach, raw']",15.15,0.4,63.0,1.36,USA,metric,"For a snack, I'm eating a peach that weighs 150 grams."
"['Baked beans', 'Cheese, American', 'Frankfurter or hot dog, beef']",59.669999999999995,23.950000000000003,526.14,22.15,USA,metric,"For dinner, I have a serving of baked beans (260 grams), a beef hot dog (57 grams), and 21 grams of American cheese on top."
"['Soft drink, pepper type', 'Frankfurter or hot dog, turkey']",40.83,11.299999999999999,290.19,7.34,USA,metric,"For lunch, I have a 372-gram soft drink and a 57-gram turkey hot dog."
"['Ice cream, chocolate, with additional ingredients', 'Water, bottled, unsweetened']",85.98,29.4,622.5,9.82,USA,metric,I'm enjoying a snack of 250 grams of chocolate ice cream and 507 grams of unsweetened bottled water.
"['Coffee, brewed', 'Chicken or turkey salad, made with mayonnaise']",6.33,42.449999999999996,533.5,31.86,USA,metric,"I'm enjoying a brewed coffee and a chicken salad with mayonnaise, weighing 240 grams and 226 grams respectively."
"['Candy, NFS', 'Pretzels, hard, plain, salted']",31.81,0.15,129.72,0.3,USA,metric,I have 30 grams of candy and 3 grams of hard salted pretzels for my snack.
"['Corn chips, flavored (Fritos)']",48.43,28.21,455.6,5.22,USA,metric,"I'm munching on 85 grams of flavored corn chips, which are Fritos, as a quick snack."
"['Yogurt parfait, low fat, with fruit', 'Sugar, white, granulated or lump', 'Cream, half and half', 'Coffee, brewed, decaffeinated']",28.57,4.98,178.77999999999997,6.460000000000001,USA,metric,"I started my day with a yogurt parfait, weighing 150 grams, sweetened with 3.5 grams of sugar and mixed with 30 grams of half-and-half. I washed it down with 480 grams of decaffeinated coffee."
"['Lentils, from dried, fat added', 'Rice, white, with other vegetables, fat added']",73.55,16.84,516.81,19.46,USA,metric,"I'm having a dinner of lentils, weighing 185 grams with fat added, and 172 grams of white rice that includes vegetables and fat."
"['Corn pone, baked']",24.2,2.63,130.54,2.13,USA,metric,I'm having 61 grams of baked corn pone as a snack.
"['Croissant', 'Milk, reduced fat (2%)']",38.09,16.61,353.41999999999996,12.84,USA,metric,I’ve got a croissant weighing 57 grams and 244 grams of 2% milk for breakfast.
"['Tomatoes, raw', 'Fish sandwich, fried, from fast food, with cheese', 'Potato, french fries, fast food', 'Water, bottled, unsweetened', 'Tartar sauce']",101.10000000000001,40.540000000000006,889.49,29.310000000000002,USA,metric,"For lunch, I'm having 125 grams of raw tomatoes with a fried fish sandwich that has cheese, weighing 151 grams. I've also got 145 grams of fast food french fries, 240 grams of bottled water, and 14 grams of tartar sauce on the side."
"['Doughnut, yeast type']",28.76,13.62,252.6,3.68,USA,metric,"For breakfast, I’m enjoying a 60-gram yeast doughnut."
